,reflectance,wavelengths
0,0.0233,381.375793
1,0.0326,386.385986
2,0.0337,391.396301
3,0.0359,396.406586
4,0.0347,401.416901
5,0.0342,406.427185
6,0.0352,411.437408
7,0.0349,416.447693
8,0.036,421.458008
9,0.036,426.468292
10,0.0402,431.478485
11,0.0402,436.4888
12,0.0416,441.499115
13,0.0437,446.509399
14,0.044,451.519714
15,0.0447,456.529907
16,0.0437,461.540192
17,0.0444,466.550507
18,0.0435,471.560791
19,0.046,476.571106
20,0.0461,481.581299
21,0.0463,486.591614
22,0.0467,491.601898
23,0.0473,496.612213
24,0.0474,501.622406
25,0.0488,506.63269
26,0.0505,511.643005
27,0.0502,516.65332
28,0.0498,521.663574
29,0.051,526.673828
30,0.054,531.684082
31,0.0546,536.694397
32,0.0549,541.704712
33,0.0555,546.715027
34,0.0569,551.72522
35,0.0583,556.735474
36,0.0574,561.745789
37,0.0573,566.756104
38,0.058,571.766296
39,0.0572,576.776611
40,0.0585,581.786926
41,0.0581,586.79718
42,0.0582,591.807495
43,0.058,596.817688
44,0.0597,601.828003
45,0.0591,606.838318
46,0.0593,611.848572
47,0.0596,616.858887
48,0.0596,621.86908
49,0.0597,626.879395
50,0.0591,631.889709
51,0.0602,636.900024
52,0.0598,641.910278
53,0.0614,646.920471
54,0.0596,651.930786
55,0.0596,656.941101
56,0.0587,661.951416
57,0.0566,666.961609
58,0.0567,671.971924
59,0.0591,676.982178
60,0.0576,681.992493
61,0.0587,687.002808
62,0.0612,692.013
63,0.0653,697.023315
64,0.0677,702.03363
65,0.0724,707.043884
66,0.0764,712.054199
67,0.0788,717.064392
68,0.0833,722.074707
69,0.0873,727.085022
70,0.0882,732.095276
71,0.0912,737.10553
72,0.0937,742.115784
73,0.0964,747.126099
74,0.0965,752.136414
75,0.0953,757.146729
76,0.0924,762.156921
77,0.099,767.167175
78,0.1025,772.17749
79,0.103,777.187805
80,0.1053,782.19812
81,0.1067,787.208313
82,0.1089,792.218628
83,0.109,797.228882
84,0.1097,802.239197
85,0.1101,807.249512
86,0.1109,812.259705
87,0.1116,817.27002
88,0.112,822.280273
89,0.1145,827.290588
90,0.114,832.300781
91,0.1175,837.311096
92,0.1199,842.321411
93,0.1213,847.331726
94,0.123,852.34198
95,0.1227,857.352173
96,0.1256,862.362488
97,0.1284,867.372803
98,0.1272,872.383118
99,0.1296,877.393372
100,0.1317,882.403625
101,0.1326,887.413879
102,0.1307,892.424194
103,0.1311,897.434509
104,0.1335,902.444702
105,0.1343,907.455017
106,0.1344,912.465271
107,0.1341,917.475586
108,0.1373,922.485901
